Date;Code INSEE region;Region;Vitesse du vent a 100m (m/s);Rayonnement solaire (W/m2)
2016-01-14;76;Occitanie;8.26375;24.71
2016-01-14;84;Auvergne-Rhone-Alpes;3.8912500000000003;18.4075
2016-01-14;93;Provence-Alpes-Cote d'Azur;7.195;18.29
2016-01-15;11;Ile-de-France;6.745;51.88875
2016-01-15;24;Centre-Val de Loire;6.12875;51.588750000000005
2016-01-15;27;Bourgogne-Franche-Comte;5.44375;53.39375
2016-01-15;28;Normandie;7.5575;50.03
2016-01-15;32;Hauts-de-France;7.365;50.595
2016-01-15;44;Grand Est;5.75875;47.9725
2016-01-15;52;Pays de la Loire;7.05875;67.6125
2016-01-15;53;Bretagne;7.78125;57.786249999999995
2016-01-15;75;Nouvelle-Aquitaine;5.47625;72.0025
2016-01-15;76;Occitanie;8.36875;77.51375
2016-01-15;84;Auvergne-Rhone-Alpes;3.88125;77.24125000000001
2016-01-15;93;Provence-Alpes-Cote d'Azur;6.078749999999999;92.72749999999999
2016-01-16;11;Ile-de-France;5.8875;54.92875
2016-01-16;24;Centre-Val de Loire;5.81875;53.64125
2016-01-16;27;Bourgogne-Franche-Comte;5.08;45.207499999999996
2016-01-16;28;Normandie;6.83875;52.80125
2016-01-16;32;Hauts-de-France;6.19875;51.597500000000004
2016-01-16;44;Grand Est;4.83625;44.665
2016-01-16;52;Pays de la Loire;6.7775;69.41
2016-01-16;53;Bretagne;7.5675;61.49125
2016-01-16;75;Nouvelle-Aquitaine;5.2924999999999995;77.7625
2016-01-16;76;Occitanie;7.26875;80.7
2016-01-16;84;Auvergne-Rhone-Alpes;3.64625;57.07124999999999
2016-01-16;93;Provence-Alpes-Cote d'Azur;5.88125;98.8775
2016-01-17;11;Ile-de-France;4.93;27.28125
2016-01-17;24;Centre-Val de Loire;5.20625;45.75625
2016-01-17;27;Bourgogne-Franche-Comte;4.66375;49.2275
2016-01-17;28;Normandie;6.345;22.27625
2016-01-17;32;Hauts-de-France;5.265;47.026250000000005
2016-01-17;44;Grand Est;4.16625;57.44375
2016-01-17;52;Pays de la Loire;6.32625;53.8525
2016-01-17;53;Bretagne;7.02;39.0575
2016-01-17;75;Nouvelle-Aquitaine;5.15375;69.09875
2016-01-17;76;Occitanie;5.43375;92.245
2016-01-17;84;Auvergne-Rhone-Alpes;2.9125;64.05
2016-01-17;93;Provence-Alpes-Cote d'Azur;5.4350000000000005;98.96375
2016-01-18;11;Ile-de-France;5.0775;38.2225
2016-01-18;24;Centre-Val de Loire;4.58;23.3175
2016-01-18;27;Bourgogne-Franche-Comte;4.085;41.400000000000006
2016-01-18;28;Normandie;6.2925;28.984999999999996
2016-01-18;32;Hauts-de-France;5.245;41.862500000000004
2016-01-18;44;Grand Est;3.545;55.12125
2016-01-18;52;Pays de la Loire;6.1225;40.88375
2016-01-18;53;Bretagne;7.37625;39.62
2016-01-18;75;Nouvelle-Aquitaine;5.1725;37.9675
2016-01-18;76;Occitanie;3.885;28.802500000000002
2016-01-18;84;Auvergne-Rhone-Alpes;2.39125;41.22
2016-01-18;93;Provence-Alpes-Cote d'Azur;4.78625;42.12
2016-01-19;11;Ile-de-France;4.61875;49.2375
2016-01-19;24;Centre-Val de Loire;4.4275;19.9225
2016-01-19;27;Bourgogne-Franche-Comte;3.94875;24.13625
2016-01-19;28;Normandie;6.1625;61.418749999999996
2016-01-19;32;Hauts-de-France;4.7725;62.75875
2016-01-19;44;Grand Est;3.2525;33.29375
2016-01-19;52;Pays de la Loire;5.6575;38.87375
2016-01-19;53;Bretagne;6.98375;33.5525
2016-01-19;75;Nouvelle-Aquitaine;5.10375;39.416250000000005
2016-01-19;76;Occitanie;3.04;37.87125
2016-01-19;84;Auvergne-Rhone-Alpes;2.18;52.015
2016-01-19;93;Provence-Alpes-Cote d'Azur;3.99125;75.11875
2016-01-20;11;Ile-de-France;4.74375;68.26375
2016-01-20;24;Centre-Val de Loire;4.25125;52.917500000000004
2016-01-20;27;Bourgogne-Franche-Comte;3.355;37.3825
2016-01-20;28;Normandie;6.41;63.958749999999995
2016-01-20;32;Hauts-de-France;4.92125;57.555
2016-01-20;44;Grand Est;3.2925;55.28875
2016-01-20;52;Pays de la Loire;5.8575;59.7
2016-01-20;53;Bretagne;7.76125;45.54375
2016-01-20;75;Nouvelle-Aquitaine;4.3625;68.03999999999999
2016-01-20;76;Occitanie;2.70125;74.41875
2016-01-20;84;Auvergne-Rhone-Alpes;1.8625;44.035000000000004
2016-01-20;93;Provence-Alpes-Cote d'Azur;3.1525;71.9925
2016-01-21;11;Ile-de-France;5.4225;69.48
2016-01-21;24;Centre-Val de Loire;5.1325;77.6025
2016-01-21;27;Bourgogne-Franche-Comte;3.90875;82.89750000000001
2016-01-21;28;Normandie;7.56375;61.528749999999995
2016-01-21;32;Hauts-de-France;5.8774999999999995;62.83375
2016-01-21;44;Grand Est;3.70875;74.10374999999999
2016-01-21;52;Pays de la Loire;6.405;64.845
2016-01-21;53;Bretagne;8.31875;36.2025
2016-01-21;75;Nouvelle-Aquitaine;4.2775;85.11874999999999
2016-01-21;76;Occitanie;3.02;94.31875
2016-01-21;84;Auvergne-Rhone-Alpes;2.0725;76.15875
2016-01-21;93;Provence-Alpes-Cote d'Azur;3.02375;92.4075
2016-01-22;11;Ile-de-France;6.02375;19.66
2016-01-22;24;Centre-Val de Loire;5.3625;15.12875
2016-01-22;27;Bourgogne-Franche-Comte;4.35875;67.6925
2016-01-22;28;Normandie;8.25625;14.443750000000001
2016-01-22;32;Hauts-de-France;6.8375;14.535000000000002
2016-01-22;44;Grand Est;4.06125;62.7425
2016-01-22;52;Pays de la Loire;7.19125;11.82125
2016-01-22;53;Bretagne;9.16875;40.901250000000005
2016-01-22;75;Nouvelle-Aquitaine;4.74125;21.564999999999998
2016-01-22;76;Occitanie;3.21875;55.07625
2016-01-22;84;Auvergne-Rhone-Alpes;1.9425;72.705
2016-01-22;93;Provence-Alpes-Cote d'Azur;3.22;63.5575
2016-01-23;11;Ile-de-France;6.49125;30.7625
2016-01-23;24;Centre-Val de Loire;5.53875;38.31375
2016-01-23;27;Bourgogne-Franche-Comte;4.075;42.21625
2016-01-23;28;Normandie;8.89375;56.08500000000001
2016-01-23;32;Hauts-de-France;7.42375;41.9525
2016-01-23;44;Grand Est;4.7975;31.18625
2016-01-23;52;Pays de la Loire;7.72875;38.84875
2016-01-23;53;Bretagne;9.73875;39.3475
2016-01-23;75;Nouvelle-Aquitaine;4.9725;51.7325
2016-01-23;76;Occitanie;3.77625;73.405
2016-01-23;84;Auvergne-Rhone-Alpes;2.10625;58.03125
2016-01-23;93;Provence-Alpes-Cote d'Azur;3.18375;89.685
2016-01-24;11;Ile-de-France;6.98;35.68125
2016-01-24;24;Centre-Val de Loire;5.44875;68.98125
2016-01-24;27;Bourgogne-Franche-Comte;4.32375;59.46875
2016-01-24;28;Normandie;9.51625;40.20625
2016-01-24;32;Hauts-de-France;7.80875;22.7325
2016-01-24;44;Grand Est;5.19625;28.1375
2016-01-24;52;Pays de la Loire;8.01375;77.82875
2016-01-24;53;Bretagne;10.18375;70.81375
2016-01-24;75;Nouvelle-Aquitaine;4.80625;95.46375
2016-01-24;76;Occitanie;3.79875;92.04124999999999
2016-01-24;84;Auvergne-Rhone-Alpes;1.99125;91.27375
2016-01-24;93;Provence-Alpes-Cote d'Azur;2.66875;92.67625000000001
2016-01-25;11;Ile-de-France;7.22875;75.53375
2016-01-25;24;Centre-Val de Loire;5.615;80.505
